category	weight	text
greetings	3	Dobar dan.
greetings	3	Dobro jutro.
greetings	3	Dobro veče.
greetings	3	Laku noć.
greetings	3	Selam.
greetings	3	Selam alejkum.
greetings	3	Alejkumu selam.
greetings	3	Kako ste danas?
greetings	3	Kako si danas?
greetings	3	Drago mi je što ste došli.
greetings	3	Baš mi je drago što te vidim.
greetings	3	Dobro došli.
greetings	3	Izvolite, sjednite.
greetings	3	Hvala što ste svratili.
greetings	3	Vidimo se uskoro.
greetings	3	Čujemo se opet malo kasnije.
greetings	3	Sretan put.
greetings	3	Sretan rođendan.
greetings	3	Čestitam od srca.
greetings	3	Sve najbolje.
needs	7	Želim nešto reći.
needs	7	Želim razgovarati.
needs	7	Želim ostati ovdje.
needs	7	Želim ići kući.
needs	7	Želim malo odmora.
needs	7	Želim slušati muziku.
needs	7	Želim gledati televiziju.
needs	7	Želim pogledati vijesti.
needs	7	Želim pročitati poruke.
needs	7	Želim nazvati porodicu.
needs	7	Želim vidjeti ko je došao.
needs	7	Želim izaći napolje.
needs	7	Želim ući u sobu.
needs	7	Molim te, promijeni mi položaj.
needs	7	Želim sjesti uspravnije.
needs	7	Želim leći.
needs	7	Želim spavati.
needs	7	Želim još malo sačekati.
needs	7	Želim nešto drugo.
needs	7	Želim biti sam.
needs	7	Želim da ostaneš sa mnom.
needs	10	Treba mi pomoć.
needs	8	Treba mi telefon.
needs	7	Treba mi punjač.
needs	7	Treba mi daljinski upravljač.
needs	7	Treba mi maramica.
needs	7	Treba mi deka.
needs	8	Treba mi jastuk.
needs	7	Treba mi čaša.
needs	7	Treba mi slamka.
needs	7	Treba mi kašika.
needs	7	Treba mi malo vremena.
needs	7	Treba mi tišina.
needs	7	Treba mi društvo.
needs	7	Trebam se odmoriti.
needs	7	Trebam završiti ovu poruku.
needs	7	Trebam još nešto dodati.
needs	7	Mogu li dobiti telefon?
needs	7	Mogu li ostati ovdje?
needs	7	Mogu li izaći napolje?
needs	7	Mogu li sada odmoriti?
needs	7	Možeš li mi pomoći?
needs	7	Možete li sačekati trenutak?
needs	7	Molim te, ostani ovdje.
needs	7	Molim vas, priđite bliže.
needs	7	Sačekaj da završim.
needs	7	Sačekajte još malo.
needs	7	Daj mi trenutak.
needs	7	Pusti me da razmislim.
needs	7	Nisam završio.
needs	7	Nisam to mislio.
needs	7	Ne želim to.
needs	7	Ne želim sada.
needs	7	Ne mogu trenutno.
needs	7	Ne treba mi ništa.
needs	7	Nemoj još ići.
needs	7	Nemoj to pomicati.
needs	7	Vrati to na mjesto.
needs	7	Dodaj mi naočale.
needs	7	Prinesi mi telefon.
needs	7	Pomjeri sto bliže.
needs	7	Skloni ovo sa stola.
needs	7	Otvori vrata.
needs	7	Zatvori vrata.
needs	7	Upali svjetlo.
needs	7	Ugasi svjetlo.
needs	7	Pojačaj zvuk malo.
needs	7	Smanji zvuk malo.
needs	7	Promijeni kanal.
needs	7	Vrati prethodni kanal.
health	8	Boli me glava.
health	8	Boli me vrat.
health	8	Bole me leđa.
health	8	Boli me stomak.
health	8	Boli me ruka.
health	8	Boli me noga.
health	8	Boli me rame.
health	8	Boli me grlo.
health	8	Boli me kada se pomjerim.
health	8	Bol je jača nego ranije.
health	8	Bol je sada slabija.
health	8	Osjećam pritisak u grudima.
health	8	Teško dišem.
health	8	Nedostaje mi zraka.
health	8	Vrti mi se u glavi.
health	8	Muka mi je.
health	8	Imam temperaturu.
health	8	Imam zimicu.
health	8	Kašljem više nego jučer.
health	8	Grlo mi je suho.
health	8	Usta su mi suha.
health	8	Nos mi je začepljen.
health	8	Ne osjećam se dobro.
health	8	Danas se osjećam bolje.
health	8	Danas sam veoma umoran.
health	8	Nisam dobro spavao.
health	8	Ne mogu zaspati.
health	8	Probudio sam se prerano.
health	8	Ruka mi je utrnula.
health	8	Noga mi je utrnula.
health	8	Imam grč u nozi.
health	8	Koža me svrbi.
health	8	Ovo mjesto me peče.
health	8	Ovdje me boli na dodir.
health	8	Provjeri mi temperaturu.
health	8	Izmjeri mi pritisak.
health	8	Provjeri mi šećer.
health	8	Donesi mi lijek.
health	8	Je li vrijeme za lijek?
health	8	Jesam li danas uzeo lijek?
health	8	Molim te, nazovi doktora.
health	8	Trebam razgovarati s doktorom.
health	8	Trebam razgovarati s medicinskom sestrom.
health	8	Kada je sljedeća terapija?
health	8	Kada je sljedeća kontrola?
health	8	Pomozi mi da se smirim.
health	8	Treba mi dublji udah.
health	8	Ne mogu dobro progutati.
health	8	Teško mi je govoriti.
health	8	Vid mi je mutan.
health	8	Smeta mi jaka svjetlost.
health	8	Čujem zujanje u ušima.
health	8	Srce mi brzo kuca.
health	8	Osjećam slabost.
health	8	Osjećam se nesigurno.
health	8	Danas imam više snage.
health	8	Terapija mi je pomogla.
health	8	Ovaj položaj pojačava bol.
health	8	Ovaj položaj mi odgovara.
health	8	Molim te, zapiši kada je bol počela.
care	8	Podigni mi glavu.
care	8	Spusti mi glavu malo.
care	8	Podigni naslon.
care	8	Spusti naslon.
care	8	Pomjeri me malo lijevo.
care	8	Pomjeri me malo desno.
care	8	Okreni me na lijevu stranu.
care	8	Okreni me na desnu stranu.
care	8	Vrati me na leđa.
care	8	Pomozi mi da sjednem.
care	8	Pomozi mi da legnem.
care	8	Pomozi mi da ustanem.
care	8	Pridrži me dok se pomjeram.
care	8	Pomjeri kolica bliže.
care	8	Zakoči kolica.
care	8	Otkoči kolica.
care	8	Namjesti mi stopala.
care	8	Podigni mi lijevu ruku.
care	8	Podigni mi desnu ruku.
care	8	Spusti mi ruku pažljivo.
care	8	Ispravi mi nogu.
care	8	Savij mi nogu malo.
care	8	Namjesti jastuk ispod glave.
care	8	Stavi jastuk iza leđa.
care	8	Izvuci jastuk malo.
care	8	Dodaj još jednu deku.
care	8	Skloni deku s nogu.
care	8	Pokrij mi ramena.
care	8	Otkrij mi stopala.
care	8	Obriši mi lice.
care	8	Obriši mi ruke.
care	8	Počešljaj mi kosu.
care	8	Operi mi zube.
care	8	Pomozi mi da operem lice.
care	8	Treba mi presvući majicu.
care	8	Treba mi čista odjeća.
care	8	Ova majica mi smeta.
care	8	Rukav mi je zategnut.
care	8	Deka je zapela ispod mene.
care	8	Jastuk je prenisko.
care	8	Jastuk je previsoko.
care	8	Stolica je predaleko.
care	8	Približi mi tastaturu.
care	8	Odmakni ekran malo.
care	8	Namjesti ekran ispred mene.
care	8	Očisti mi naočale.
care	8	Stavi mi naočale.
care	8	Skini mi naočale.
care	8	Provjeri je li mi udobno.
care	8	Radi to malo sporije.
care	8	Budi pažljiv s mojom rukom.
care	8	Stani na trenutak.
care	8	Sada možeš nastaviti.
care	8	Ovako je bolje.
care	8	Vrati me u prethodni položaj.
food_drink	6	Želim vode.
food_drink	6	Želim hladne vode.
food_drink	6	Želim toplog čaja.
food_drink	6	Želim kafu.
food_drink	6	Želim sok od jabuke.
food_drink	6	Želim nešto pojesti.
food_drink	6	Želim doručak.
food_drink	6	Želim ručak.
food_drink	6	Želim večeru.
food_drink	6	Želim malo voća.
food_drink	6	Želim supu.
food_drink	6	Želim komad hljeba.
food_drink	6	Želim još jedan zalogaj.
food_drink	6	Ne želim više jesti.
food_drink	6	Nisam gladan.
food_drink	6	Nisam žedan.
food_drink	6	Gladan sam.
food_drink	6	Žedan sam.
food_drink	6	Hrana je prevruća.
food_drink	6	Piće je prehladno.
food_drink	6	Ovo je preslano.
food_drink	6	Ovo je preslatko.
food_drink	6	Ovo mi se sviđa.
food_drink	6	Ovo mi se ne sviđa.
food_drink	6	Donesi mi čašu vode.
food_drink	6	Dodaj mi šolju čaja.
food_drink	6	Stavi čašu bliže.
food_drink	6	Pomjeri tanjir malo.
food_drink	6	Daj mi manji zalogaj.
food_drink	6	Daj mi malo više vremena.
food_drink	6	Pomozi mi da popijem vodu.
food_drink	6	Pomozi mi da uzmem zalogaj.
food_drink	6	Treba mi slamka za piće.
food_drink	6	Treba mi kašika za supu.
food_drink	6	Obriši mi usta.
food_drink	6	Sačekaj da progutam.
food_drink	6	Mogu li dobiti još vode?
food_drink	6	Mogu li dobiti malo kafe?
food_drink	6	Ima li nešto lagano za jesti?
food_drink	6	Šta danas imamo za ručak?
food_drink	6	Kada će biti večera?
food_drink	6	Čaj mi baš prija.
food_drink	6	Kafa je taman jaka.
food_drink	6	Voda mi je dovoljno hladna.
food_drink	6	Sačuvaj mi ostatak za kasnije.
comfort	7	Hladno mi je.
comfort	7	Vruće mi je.
comfort	7	Zagušljivo mi je.
comfort	7	Ovdje je previše bučno.
comfort	7	Ovdje je previše tiho.
